Brand	Vendor	Name	Code name	Micro arch.	Launch	Bus	Host	Form	Lith.	Core freq.	Shader freq.	Memory freq.	Mem. size	Mem. width, type	System	Kernel module	OpenGL driver	OpenGL	GLSL	Bones	Tester	Availability	Updated	Unv.	Status	Preset	Resolution	Note	FPS	
AMD	Asus	Radeon HD 7450	RV910, Caicos	TeraScale 2	2012-01	PCIe 2.1 x16	workstation	lowprofile	40nm	-	N/A	-	2GB	64-bit, DDR3	Ubuntu 20.04	Linux 5.4.0 radeon	Mesa 20.0.8 r600	Core 3.3	Core 3.30	256	illwieckz	lost	2020-07-18	0.52~	passed	low	1280×720	-	-	
AMD	Gigabyte	Radeon HD 6990	RV970, 2×Antilles XT	TeraScale 3	2011-03-08	PCIe 2.1 x16	workstation	discrete	40nm	830MHz	N/A	1250MHz	2×2GB	256-bit, GDDR5	Ubuntu 20.04.4	Linux 5.13.0 radeon	Mesa 20.0.4 r600	Core 4.3	Core 4.30	256	illwieckz	unplugged	2022-03-30	0.53~	passed	ultra	3840×2160	-	80-80	
AMD	XFX	Radeon HD 6970	RV970, Cayman XT	TeraScale 3	2010-12-15	PCIe 2.1 x16	workstation	discrete	40nm	880MHz	N/A	1375MHz	2GB	256-bit, GDDR5	Ubuntu 20.04.4	Linux 5.13.0 radeon	Mesa 20.0.8 r600	Core 4.3	Core 4.30	256	illwieckz	unplugged	2022-03-31	0.52	passed	ultra	3840×2160	-	83-83	
AMD	Asus	Radeon HD 6950	RV970, Cayman PRO	TeraScale 3	2010-12-14	PCIe 2.1 x16	workstation	discrete	40nm	880MHz	N/A	1250MHz	2GB	256-bit, GDDR5	Ubuntu 22.04.3	Linux 6.2.0 radeon	Mesa 23.0.4	Core 4.5	Core 4.50	256	illwieckz	unplugged	2023-10-27	0.55~	passed	ultra	1920×1080	-	130-160	0.54:110-146
AMD	Dell	FirePro 3D V4800	RV830, Redwood XT GL	TeraScale 2	2010-04-26	PCIe 2.1 x16	workstation	discrete	40nm	775MHz	N/A	900MHz	1GB	128-bit, GDDR5	Ubuntu 20.04	Linux 5.4.0 radeon	Mesa 20.0.8 r600	Core 3.3	Core 3.30	256	illwieckz	unplugged	2020-09-04	0.52~	passed	medium	2560×1440	-	-	
ATi	Gigabyte	Radeon HD 5870 Eyefinity 6	RV870, Cypress XT	TeraScale 2	2010-03-11	PCIe 2.1 x16	workstation	discrete	40nm	850MHz	N/A	4800MHz	2GB	256-bit, GDDR5	Ubuntu 20.04	Linux 5.4.0 radeon	Mesa 20.0.8 r600	Core 4.3	Core 4.30	256	illwieckz	unplugged	2020-07-08	0.52~	passed	ultra	1920×1080	-	-	
ATi	MSI	Radeon HD 5450	RV810, Cedar	TeraScale 2	2010-02-04	PCIe 2.1 x16	workstation	lowprofile	40nm	650MHz	N/A	400?800MHz?	1GB	64-bit, DDR3?	Ubuntu 20.04	Linux 5.4.0 radeon	Mesa 20.0.8 r600	Core 3.3	Core 3.30	256	illwieckz	unplugged	2020-08-04	0.52~	passed	low	1280×1024	-	-	
ATi	Asus	Radeon HD 5670	RV830, Redwood XT	TeraScale 2	2010-01-14	PCIe 2.1 x16	workstation	discrete	40nm	775MHz	N/A	1000MHz	1GB	64-bit, GDDR5	Ubuntu 20.04	Linux 5.4.0 radeon	Mesa 20.0.8 r600	Core 3.3	Core 3.30	256	illwieckz	lost	2020-07-18	0.52~	passed	low	1920×1080	-	-	
ATi	ATi	Radeon HD 5970	RV870, 2×Hemlock XT	TeraScale 2	2009-11-18	PCIe 2.1 x16	workstation	discrete	40nm	725MHz	N/A	1000MHz	2×1GB	256-bit, GDDR5	Ubuntu 20.04.4	Linux 5.13.0 radeon	Mesa 20.0.8 r600	Core 4.3	Core 4.30	256	illwieckz	unconfigured	2022-04-01	0.53~	passed	ultra	1920×1080	-	108-104	qhd:67-67
ATi	Sapphire	Radeon HD 4890 Vapor-X	RV790 XT	TeraScale 1	2009-04-02	PCIe 2.0 x16	workstation	discrete	55nm	240-870MHz	N/A	1050MHz	1GB	256-bit, GDDR5	Ubuntu 20.04	Linux 5.4.0 radeon	Mesa 20.0.8 r600	Core 3.3	Core 3.30	256	illwieckz	unplugged	2020-07-07	0.52~	passed	medium	1920×1080	fakefps	-	
ATi	HIS	Radeon HD 4350	RV710	TeraScale 1	2008-09-30	PCI	workstation	lowprofile	55nm	600MHz	N/A	400?650MHz?	512MB	64-bit DDR2	Ubuntu 20.04	Linux 5.4.0 radeon	Mesa 20.0.8 r600	Core 3.3	Core 3.30	256	illwieckz	unplugged	2020-10-21	0.52~	playable	low	1280×720	-	35-94	
ATi	HIS	Radeon HD 4670 IceQ	RV730 XT	TeraScale 1	2008-09-10	PCIe 2.0 x16	workstation	discrete	40nm	450MHz	N/A	1746MHz	1GB	128-bit, DDR3	Ubuntu 20.04	Linux 5.4.0 radeon	Mesa 20.0.8 r600	Core 3.3	Core 3.30	256	illwieckz	unplugged	2020-11-29	0.52~	passed	medium	1920×1080	-	77-98	
ATi	HIS	Radeon HD 4670 IceQ	RV730 XT	TeraScale 1	2008-09-10	AGP 2.0 8x	workstation	discrete	40nm	450MHz	N/A	1746MHz	1GB	128-bit, DDR3	Ubuntu 20.04.2	Linux 5.8.0 radeon	Mesa 20.2.6 r600	Core 3.3	Core 3.30	256	illwieckz	unplugged	2021-06-03	0.52	passed	medium	1920×1080	-	77-110	
ATi	Club3D	Radeon HD 4870 X2	2×RV770 XT	TeraScale 1	2008-08-12	PCIe 2.0 x16	workstation	discrete	55nm	750MHz	N/A	900MHz	2×1GB	256-bit GDDR5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
ATi	HP	Radeon HD 3650	RV635 PRO	TeraScale 1	2008-01-23	PCIe 2.0 x16	workstation	discrete	55nm	109-725MHz	N/A	252-485MHz	256MB	128-bit, DDR2	Ubuntu 20.04	Linux 5.4.0 radeon	Mesa 20.0.8 r600	Core 3.3	Core 3.30	256	illwieckz	configured	2020-07-05	0.52~	passed	lowest	1280×720	nohyperz	-	
ATi	Sapphire	Radeon HD 2600 PRO	RV630	TeraScale 1	2007-06-28	AGP 2.0 8x	workstation	discrete	65nm	600MHz	N/A	500?700MHz?	512MB	128-bit, DDR2	Ubuntu 20.04	Linux 5.4.0 radeon	Mesa 20.0.8 r600	Core 3.3	Core 3.30	256	illwieckz	configured	2020-07-18	0.52~	passed	lowest	1280×720	nohyperz	-	
ATi	Palit	Radeon X550 XT	RV410 alto	R400	2007-01-24	PCIe 1.0 x16	workstation	discrete	110nm	400MHz	N/A	300MHz	256MB	64-bit, DDR2	Ubuntu 20.04	Linux 5.4.0 radeon	Mesa 20.0.8 r300	2.1	1.20	41	illwieckz	unplugged	2020-11-24	0.52~	slow	lowest	640×480	lowtex, slowmodel	21	
ATi	ATi	Radeon X1050	RV370 hari	R300	2006-12-07	PCIe 1.0 x16	workstation	discrete	110nm	400MHz	N/A	200MHz	128MB	64-bit, DDR2	Ubuntu 20.04	Linux 5.4.0 radeon	Mesa 20.0.8 r300	2.1	1.20	41	illwieckz	unplugged	2020-10-05	0.52~	slow	lowest	640×480	lowtex, slowmodel, tinyalu	13-50	
ATi	Sapphire	Radeon X1950 PRO	RV570	R500	2006-10-25	PCIe 1.0 x16	workstation	discrete	80nm	575MHz	N/A	690MHz	512MB	256-bit, GDDR3	Ubuntu 20.04	Linux 5.4.0 radeon	Mesa 20.0.8 r300	2.1	1.20	41	illwieckz	unplugged	2020-11-28	0.52~	slow	low	1920×1080	lowsky, slowmodel	16-70	
ATi	MSI	Radeon X1950 PRO	RV570	R500	2006-10-25	AGP 2.0 8x	workstation	discrete	80nm	575MHz	N/A	690MHz	512MB	256-bit, GDDR3	Ubuntu 20.04	Linux 5.4.0 radeon	Mesa 20.0.8 r300	2.1	1.20	41	illwieckz	unplugged	2020-08-25	0.52~	slow	low	1920×1080	lowsky, slowmodel	13-60	
ATi	GeCube	Radeon X550 HyperMemory	RV370 hari	R300	2005-07-21	PCIe 1.0 x16	workstation	lowprofile	110nm	400MHz	N/A	250MHz	128MB	64-bit, DDR HM	Ubuntu 20.04	Linux 5.4.0 radeon	Mesa 20.0.8 r300	2.1	1.20	41	illwieckz	unplugged	2020-10-05	0.52~	slow	lowest	640×480	lowtex, slowmodel, tinyalu	13-49	
ATi	ATi	Radeon X300	RV370 hari	R300	2004-09-01	PCIe 1.0 x16	workstation	lowprofile	110nm	325MHz	N/A	200MHz	64MB	128-bit, DDR	Ubuntu 20.04	Linux 5.4.0 radeon	Mesa 20.0.8 r300	2.1	1.20	41	illwieckz	unplugged	2020-10-05	0.52~	slow	lowest	640×480	lowtex, slowmodel, tinyalu	13-44	
ATi	PowerColor	Radeon 9200 SE R92LE	RV280 argus	R200	2003-04-01	AGP 2.0 8x	workstation	lowprofile	-	250MHz	N/A	200MHz	128MB	128-bit, DDR	Ubuntu 20.04	Linux 5.4.0 radeon	Mesa 20.0.8 r200	1.3	N/A	-	illwieckz	unplugged	2020-08-09	0.52~	missing	-	-	-	-	
ATi	ATi	Radeon 9500	R300 khan	R300	2002-10-24	AGP 2.0 8x	workstation	discrete	150nm	275MHz	N/A	270MHz	128MB	256-bit, DDR	Ubuntu 20.04	Linux 5.4.0 radeon	Mesa 20.0.8 r300	2.1	1.20	41	illwieckz	unplugged	2020-10-10	0.52~	slow	lowest	640×480	lowtex, slowmodel, tinyalu	9-40	
ATi	Hercules	Radeon 9700 PRO	R300 khan	R300	2002-07-18	AGP 2.0 8x	workstation	discrete	150nm	325MHz	N/A	310MHz	128MB	256-bit, DDR	Ubuntu 20.04	Linux 5.8.0 radeon	Mesa 20.2.6 r300	2.1	1.20	41	illwieckz	unplugged	2021-05-06	0.52~	slow	lowest	640×480	lowtex, slowmodel, tinyalu	12-45	
ATi	HIS	Radeon 7000 VE Excalibur	RV100 piglet	R100	2001-02-19	AGP 2.04x	workstation	discrete	180nm	183MHz	N/A	182MHz	32MB	64-bit, DDR	Ubuntu 14.04.6	Linux 4.4.0 radeon	Mesa 10.1.3 r100	No	N/A	-	illwieckz	configured	2022-02-03	0.52~	missing	-	-	-	-	
																														
Brand	Vendor	Name	Code name	Micro arch.	Launch	Bus	Host	Form	Lith.	Core freq.	Shader freq.	Memory freq.	Mem. size	Mem. width, type	System	Kernel module	OpenGL driver	OpenGL	GLSL	Bones	Tester	Availability	Updated	Unv.	Status	Preset	Resolution	Note	FPS	
Intel	Dell	UHD 620 rev.2 (i7-10610U)	Comet Lake	Gen10 GT2	2020-Q2 (2017?)	PCIe 3.0 x1?	laptop	integrated	14nm	-	N/A	-	3GB	-, shared DDR4	Ubuntu 20.04	Linux 5.4.0 i915	Mesa 20.0.8 i965	Core 4.6	Core 4.60	256	quantix	unconfigured	2020-08-12	0.52~	passed	medium	2560×1440	-	-	
Intel	Intel	UHD 620 (i5-10210U)	Comet Lake	Gen10 GT2	2019-Q3 (2017)	PCIe 3.0 x1?	minipc	integrated	14nm	300-1100MHz	N/A	-	3GB	-, shared DDR4	Ubuntu 20.04	Linux 5.4.0 i915	Mesa 20.0.8 i965	Core 4.6	Core 4.60	256	illwieckz	lost	2020-07-09	0.52~	passed	medium	2560×1440	-	-	
Intel	Clevo	HD 530 (i7-6700HQ)	Skylake	Gen9 GT2	2015-Q3 (2015)	PCIe 3.0 x1?	laptop	integrated	14nm	350-1050MHz	N/A	-	3GB	-, shared DDR4	Manjaro	Linux 5.12.0 i915	Mesa 21.0.3 i965	Core 4.6	Core 4.60	256	poVoq	configured	2020-04-26	0.52~	passed	medium	1920×1080	-	80-120	
Intel	Gigabyte	HD 520 (i3-6100U)	Skylake	Gen9 GT2	2015-Q3 (2015)	PCIe 3.0 x1?	minipc	integrated	14nm	300-1000MHz	N/A	-	3GB	-, shared DDR4	Ubuntu 20.04	Linux 5.4.0 i915	Mesa 20.0.8 i965	Core 4.6	Core 4.60	256	illwieckz	lost	2020-09-05	0.52~	passed	medium	1920×1080	-	-	
Intel	Lenovo (Thinkpad W541)	HD 4600 (i7-4810MQ)	Haswell	Gen7 GT2	2014-Q1 (2013)	PCIe 3.0 x1?	laptop	integrated	22nm	400-1300MHz	N/A	-	2GB	-, shared DDR3	Ubuntu 20.04	Linux 5.4.0 i915	Mesa 20.0.8 i965	Core 4.5	Core 4.50	256	illwieckz	configured	2020-08-07	0.52~	passed	medium	1920×1080	-	-	
Intel	Lenovo (Thinkpad T440p)	HD 4600 (i5-4300M)	Haswell	Gen7 GT2	2013-Q4 (2013)	PCIe 3.0 x1?	laptop	integrated	22nm	400-1250MHz	N/A	-	1536MB	-, shared DDR3	Ubuntu 20.04	Linux 5.4.0 i915	Mesa 20.0.8 i965	Core 4.5	Core 4.50	256	illwieckz	unconfigured	2020-08-07	0.52~	passed	ultra	1366×768	-	-	
Intel	Asus	HD 4000 (i5-3337U)	Ivy Bridge	Gen7 GT2	2013-Q1 (2013)	PCIe 2.0 x1?	laptop	integrated	22nm	350-1220MHz	N/A	-	1536MB	-, shared DDR3	Ubuntu 20.04	Linux 5.4.0 i915	Mesa 20.0.8 i965	Core 4.2	Core 4.20	256	quantix	unconfigured	2020-08-12	0.52~	passed	medium	1920×1080	-	-	
Intel	Lenovo (Thinkpad W530)	HD 4000 (i7-3740QM)	Ivy Bridge	Gen7 GT2	2012-Q2 (2013)	PCIe 2.0 x1?	laptop	integrated	22nm	650-1300MHZ	N/A	-	1536MB	-, shared DDR3	Ubuntu 20.04	Linux 5.4.0 i915	Mesa 20.0.8 i965	Core 4.2	Core 4.20	256	mary	unconfigured	2020-08-21	0.52~	passed	medium	1920×1080	-	-	
Intel	Dell (Precision T1650)	HD P4000 (Xeon E3-1275V2)	Ivy Bridge	Gen7 GT2	2012-Q2 (2012)	PCIe 2.0 x1?	workstation	integrated	22nm	650-1350MHz	N/A	-	1536MB	-, shared DDR3	Ubuntu 20.04	Linux 5.4.0 i915	Mesa 20.0.8 i965	Core 4.2	Core 4.20	256	dom	unconfigured	2020-09-04	0.52~	passed	medium	1920×1080	-	-	
Intel	Dell (Precision T1600)	HD 2000 (Xeon E3-1225)	Sandy Bridge	Gen6 GT1	2011-Q2	PCIe 2.0 x1?	workstation	integrated	32nm	850-1250MHz	N/A	-	1536MB	-, shared DDR3	Ubuntu 20.04	Linux 5.4.0 i915	Mesa 20.0.8 i965	Core 3.3	Core 3.30	256	dom	unconfigured	2020-09-04	0.52~	passed	low	1920×1080	-	-	
